Date,Rating,Title,Opinion,Attraction
22 de octubre de 2022,50,Noche en doña alicia,"todo perfecto en tiempo rápido y un muy buen servicio Quede encantada de cómo te atienden y lo deliciosa que es la comida todo cómodo buena calefacción. lo recomiendo mucho por todo lo anterior comentado,se pasa un rato muy agradable y satisfactorio",Restaurant
21 de octubre de 2022,50,Pasando el cumpleaños en dona alicia,"El lugar muy acogedor, la mejor atención , la comida deliciosa y muy apetitosa . Muy moderno el lugar. Hace q la visita sea bastante diferente y facilita todo.",Restaurant
17 de octubre de 2022,50,Una noche fantástica,Buena noche estoy en cuba de visita pase por doña Alicia fue fantástico mucha cosa me impresionaron como cliente a conocer el lugar principalmente todo lo q te exibe en la carta lo tiene buena limpieza todo 100 por ciento,Restaurant
17 de octubre de 2022,50,Mi primera noche en doña alicia,"Es un restaurante muy elegante con un bien servicio y atención y buena comida excelente un buen lugar pasar un buen rato ,se los recomiendo buen lugar 🙏",Restaurant
14 de octubre de 2022,50,Magnífico servicio el mejor de La Habana,"Excelente servicio, rápido y eficiente lo recomiendo. El lugar es precioso y todos los trabajos muy educados y carismáticos en especial Xavier excelente persona",Restaurant
11 de octubre de 2022,50,Una noche espectacular,Estamos muy satisfechos y complacidos con el maravilloso servicio con el q consta el restauran todo con una calidad muy esquicista y nos vamos conformes y con grandes ganas de repetir pronto la visita al lugar,Restaurant
11 de octubre de 2022,50,Doña Alicia,"Hoy pedimos a domicilio y nos encantó la comida excelente calidad, magnífico sabor, quedamos muy complacidos, los felicitaciones al personal de trabajo 🥰👌🏻💯",Restaurant
11 de octubre de 2022,50,Sencillo,Gracias dona Alicia.nos gusto su lugar. Quedamos agradados.buenos tragos. Buena y sencilla comida. Regresemos ya prontito,Restaurant
10 de octubre de 2022,50,Doña Alicia.,"Hemos tenido una experiencia fabulosa en este hermoso restaurante, es favorito para nosotros, hemos degustado de una deliciosa comida y un espectacular servicio, su equipo hoy liderado por el Capitán Xaviel Nuestras felicitaciones",Restaurant
9 de octubre de 2022,50,Un domingo en doña Alicia,Muy buen lugar excelente trato se los recomiendo 👌 divino todo me encanto todo muy bien confort 😊 😉,Restaurant
9 de octubre de 2022,50,Cena en familia,"Me encantó,el servicio excelente y la calidad cinco estrellas,los felicito,la calidad de los alimentos en su punto,la decoración de los platos muy original",Restaurant
9 de octubre de 2022,50,Deleite total,"Excelente el sitio para degustar una exquisita comida!! Servicio de excelencia, rápido y amable!! Quedé encantada con el equipo del capitán Xaviel . Volveré a este lugar una y otra vez!!",Restaurant
9 de octubre de 2022,50,Doña Alicia Restaurant,"Lo mejor de lo mejor para cenar y disfrutar de momentos inolvidables,tanto en pareja como en familia...infinidad de agradecimiento por tan excelente servicio al equipo de Xaviel.",Restaurant
8 de octubre de 2022,50,Almuerzo,Excelente sitio ! Especial para todo tipo de ocasión. Muy buena cocina y coctelería ubicado en el corazón de La Habana ! Muy agradecido con la atención del equipo de trabajo y su capitán Xavier !,Restaurant
